Month,usg_apt,fg_apt,carrier,type,Scheduled
6,CLT,DUB,AA,Passengers,13338
6,LAX,WAW,LO,Passengers,13326
6,ATL,GIG,DL,Passengers,13324
6,FLL,CUN,B6,Passengers,13322
6,BOS,CPH,SK,Passengers,13320
6,PHL,YYZ,PT,Passengers,13312
6,MIA,MXP,AA,Passengers,13299
6,ORD,HND,NH,Passengers,13293
6,SFO,LGW,DI,Passengers,13251
6,IAH,EZE,UA,Passengers,13246
6,JFK,MXP,AZ,Passengers,13245
6,ATL,LIM,DL,Passengers,13245
6,ATL,EZE,DL,Passengers,13240
6,ORD,FCO,AZ,Passengers,13233
6,MIA,FCO,AZ,Passengers,13229
6,SFO,AMS,UA,Passengers,13222
6,CLT,CDG,AA,Passengers,13184
6,PHX,LHR,AA,Passengers,13182
6,HNL,KIX,JL,Passengers,13164
6,SEA,YYJ,QX,Passengers,13161
6,RDU,LHR,AA,Passengers,13153
6,SFO,AKL,NZ,Passengers,13138
6,LAX,MEX,4O,Passengers,13135
6,BOS,PTY,CM,Passengers,13129
6,MIA,LHR,VS,Passengers,13084
6,BWI,PUJ,WN,Passengers,13082
6,IAD,BRU,UA,Passengers,13070
6,MIA,NAS,UP,Passengers,13047
6,BOS,LHR,DL,Passengers,13045
6,DFW,MEX,4O,Passengers,13035
6,LAX,HND,NH,Passengers,13026
